pearson;similarity_type;matching;word_agg;sentence_agg;direction;power;index_weight;power_scope
0.5083991999944986;spath;one_to_many;max;max;single;power1;linear;global
0.5083991999944986;spath;one_to_many;max;avg;single;power1;linear;global
0.5083991999944986;spath;one_to_many;max;min;single;power1;linear;global
0.5080129434821167;spath;one_to_many;max;max;single;power7;exponential;local
0.5080129434821167;spath;one_to_many;max;avg;single;power7;exponential;local
0.5080129434821167;spath;one_to_many;max;min;single;power7;exponential;local
0.5079373662162107;spath;one_to_many;max;max;single;power13;exponential;local
0.5079373662162107;spath;one_to_many;max;avg;single;power13;exponential;local
0.5079373662162107;spath;one_to_many;max;min;single;power13;exponential;local
0.5079360030312601;wupalmer;one_to_many;max;max;single;power101;exponential;local
0.5079360030312601;wupalmer;one_to_many;max;avg;single;power101;exponential;local
0.5079360030312601;wupalmer;one_to_many;max;min;single;power101;exponential;local
0.5079360010747089;spath;one_to_many;max;max;single;power101;exponential;local
0.5079360010747089;spath;one_to_many;max;avg;single;power101;exponential;local
0.5079360010747089;spath;one_to_many;max;min;single;power101;exponential;local
0.50732378883809;wupalmer;one_to_many;max;avg;symmetric;power7;none;global
0.506554747583444;spath;one_to_many;max;max;single;power1;prime;local
0.506554747583444;spath;one_to_many;max;avg;single;power1;prime;local
0.506554747583444;spath;one_to_many;max;min;single;power1;prime;local
0.506554747583444;spath;one_to_many;max;max;single;power1;prime;global
0.506554747583444;spath;one_to_many;max;avg;single;power1;prime;global
0.506554747583444;spath;one_to_many;max;min;single;power1;prime;global
0.5054346101572172;spath;one_to_many;max;max;single;power2;exponential;local
0.5054346101572172;spath;one_to_many;max;avg;single;power2;exponential;local
0.5054346101572172;spath;one_to_many;max;min;single;power2;exponential;local
0.5042387862845875;wupalmer;one_to_many;max;max;symmetric;power7;prime;global
0.5042387862845875;wupalmer;one_to_many;max;avg;symmetric;power7;prime;global
0.5042387862845875;wupalmer;one_to_many;max;min;symmetric;power7;prime;global
0.5038829293769218;wupalmer;one_to_many;max;avg;single;power2;none;local
0.5030524832995094;wupalmer;one_to_many;max;max;symmetric;power7;linear;global
0.5030524832995094;wupalmer;one_to_many;max;avg;symmetric;power7;linear;global
0.5030524832995094;wupalmer;one_to_many;max;min;symmetric;power7;linear;global
0.5009002514971816;spath;one_to_many;max;max;single;power2;prime;global
0.5009002514971816;spath;one_to_many;max;avg;single;power2;prime;global
0.5009002514971816;spath;one_to_many;max;min;single;power2;prime;global
0.5007967470361838;spath;one_to_many;max;max;single;power2;linear;global
0.5007967470361838;spath;one_to_many;max;avg;single;power2;linear;global
0.5007967470361838;spath;one_to_many;max;min;single;power2;linear;global
0.5001628421866409;wupalmer;one_to_many;max;max;symmetric;power7;exponential;global
0.5001628421866409;wupalmer;one_to_many;max;avg;symmetric;power7;exponential;global
0.5001628421866409;wupalmer;one_to_many;max;min;symmetric;power7;exponential;global
0.496384898211666;wupalmer;one_to_many;max;max;single;power2;linear;local
0.496384898211666;wupalmer;one_to_many;max;avg;single;power2;linear;local
0.496384898211666;wupalmer;one_to_many;max;min;single;power2;linear;local
0.49446778715260226;wupalmer;one_to_many;max;max;single;power2;prime;local
0.49446778715260226;wupalmer;one_to_many;max;avg;single;power2;prime;local
0.49446778715260226;wupalmer;one_to_many;max;min;single;power2;prime;local
0.4863369095445439;spath;one_to_many;max;max;single;power1;exponential;local
0.4863369095445439;spath;one_to_many;max;avg;single;power1;exponential;local
0.4863369095445439;spath;one_to_many;max;min;single;power1;exponential;local
0.4863369095445439;spath;one_to_many;max;max;single;power1;exponential;global
0.4863369095445439;spath;one_to_many;max;avg;single;power1;exponential;global
0.4863369095445439;spath;one_to_many;max;min;single;power1;exponential;global
0.4838164543618171;wupalmer;one_to_many;max;avg;single;power2;none;global
0.4820426489978986;spath;one_to_many;max;max;single;power2;exponential;global
0.4820426489978986;spath;one_to_many;max;avg;single;power2;exponential;global
0.4820426489978986;spath;one_to_many;max;min;single;power2;exponential;global
0.47996007310439565;wupalmer;one_to_many;max;max;symmetric;power1;linear;local
0.47996007310439565;wupalmer;one_to_many;max;avg;symmetric;power1;linear;local
0.47996007310439565;wupalmer;one_to_many;max;min;symmetric;power1;linear;local
0.47996007310439565;wupalmer;one_to_many;max;max;symmetric;power1;linear;global
0.47996007310439565;wupalmer;one_to_many;max;avg;symmetric;power1;linear;global
0.47996007310439565;wupalmer;one_to_many;max;min;symmetric;power1;linear;global
0.478121875774698;wupalmer;one_to_many;max;max;symmetric;power1;prime;local
0.478121875774698;wupalmer;one_to_many;max;avg;symmetric;power1;prime;local
0.478121875774698;wupalmer;one_to_many;max;min;symmetric;power1;prime;local
0.478121875774698;wupalmer;one_to_many;max;max;symmetric;power1;prime;global
0.478121875774698;wupalmer;one_to_many;max;avg;symmetric;power1;prime;global
0.478121875774698;wupalmer;one_to_many;max;min;symmetric;power1;prime;global
0.47509745542162507;wupalmer;one_to_many;max;max;single;power2;linear;global
0.47509745542162507;wupalmer;one_to_many;max;avg;single;power2;linear;global
0.47509745542162507;wupalmer;one_to_many;max;min;single;power2;linear;global
0.4750580713156577;wupalmer;one_to_many;max;max;single;power2;exponential;local
0.4750580713156577;wupalmer;one_to_many;max;avg;single;power2;exponential;local
0.4750580713156577;wupalmer;one_to_many;max;min;single;power2;exponential;local
0.4744446050440473;wupalmer;one_to_many;max;max;single;power2;prime;global
0.4744446050440473;wupalmer;one_to_many;max;avg;single;power2;prime;global
0.4744446050440473;wupalmer;one_to_many;max;min;single;power2;prime;global
0.47184447637858035;wupalmer;one_to_many;max;max;symmetric;power1;exponential;local
0.47184447637858035;wupalmer;one_to_many;max;avg;symmetric;power1;exponential;local
0.47184447637858035;wupalmer;one_to_many;max;min;symmetric;power1;exponential;local
0.47184447637858035;wupalmer;one_to_many;max;max;symmetric;power1;exponential;global
0.47184447637858035;wupalmer;one_to_many;max;avg;symmetric;power1;exponential;global
0.47184447637858035;wupalmer;one_to_many;max;min;symmetric;power1;exponential;global
0.470935496747351;wupalmer;one_to_many;max;avg;symmetric;power1;none;local
0.470935496747351;wupalmer;one_to_many;max;avg;symmetric;power1;none;global
0.45864724218912006;spath;one_to_many;max;max;symmetric;power7;exponential;global
0.45864724218912006;spath;one_to_many;max;avg;symmetric;power7;exponential;global
0.45864724218912006;spath;one_to_many;max;min;symmetric;power7;exponential;global
0.4586374617587251;wupalmer;one_to_many;max;max;single;power2;exponential;global
0.4586374617587251;wupalmer;one_to_many;max;avg;single;power2;exponential;global
0.4586374617587251;wupalmer;one_to_many;max;min;single;power2;exponential;global
0.45612901368755715;wupalmer;one_to_many;max;max;symmetric;power13;exponential;global
0.45612901368755715;wupalmer;one_to_many;max;avg;symmetric;power13;exponential;global
0.45612901368755715;wupalmer;one_to_many;max;min;symmetric;power13;exponential;global
0.4521399375231734;spath;one_to_many;max;max;symmetric;power7;prime;global
0.4521399375231734;spath;one_to_many;max;avg;symmetric;power7;prime;global
0.4521399375231734;spath;one_to_many;max;min;symmetric;power7;prime;global
0.451055552083356;spath;one_to_many;max;max;symmetric;power7;linear;global
0.451055552083356;spath;one_to_many;max;avg;symmetric;power7;linear;global
0.451055552083356;spath;one_to_many;max;min;symmetric;power7;linear;global
0.4494678401899257;wupalmer;one_to_many;max;max;symmetric;power13;prime;global
0.4494678401899257;wupalmer;one_to_many;max;avg;symmetric;power13;prime;global
0.4494678401899257;wupalmer;one_to_many;max;min;symmetric;power13;prime;global
0.4483345497119202;wupalmer;one_to_many;max;max;symmetric;power13;linear;global
0.4483345497119202;wupalmer;one_to_many;max;avg;symmetric;power13;linear;global
0.4483345497119202;wupalmer;one_to_many;max;min;symmetric;power13;linear;global
